Day,Female ID,Vial number ,number mating pairs ,number mated blue,number mated red,number mated Cs,number mated As,Proportion C  mating,Proportion A mating ,Mated female pop 
2,C3,9,8,4,4,4,4,0.5,0.5,C
2,C3,10,7,4,3,4,3,0.571428571,0.428571429,C
2,C5,1,4,1,3,3,1,0.75,0.25,C
2,C5,2,5,2,3,3,2,0.6,0.4,C
2,C5,3,3,1,2,2,1,0.666666667,0.333333333,C
2,C5,4,7,2,5,5,2,0.714285714,0.285714286,C
2,C5,5,6,2,4,4,2,0.666666667,0.333333333,C
2,C5,6,8,4,4,4,4,0.5,0.5,C
2,C5,7,8,4,4,4,4,0.5,0.5,C
2,C5,8,NA,NA,NA,NA,NA,NA,NA,C
2,C5,9,5,4,1,4,1,0.8,0.2,C
2,C5,10,8,7,1,7,1,0.875,0.125,C
